Word,Documents
paulo,"[(3, 2), (5, 2), (6, 1), (8, 4), (11, 1), (14, 3), (32, 2), (33, 1), (34, 1), (36, 2), (37, 1), (38, 1), (39, 1), (40, 1), (45, 2), (47, 1), (50, 1), (56, 1), (58, 2), (62, 1), (66, 1), (68, 1), (69, 1), (70, 1), (75, 3)]"
guedes,"[(3, 2), (6, 1), (8, 5), (11, 3), (14, 3), (32, 1), (58, 3), (66, 1), (68, 3), (75, 3)]"
estudando,"[(3, 1), (23, 1)]"
reduzir,"[(3, 2), (29, 1), (33, 1)]"
impostos,"[(3, 3), (32, 3), (33, 2)]"
terça,"[(3, 1), (17, 1), (49, 1), (69, 2)]"
durante,"[(3, 1), (26, 1), (28, 2), (30, 1), (33, 1), (34, 2), (35, 1), (37, 1), (38, 1), (42, 1), (44, 2), (49, 3), (52, 1), (58, 1), (62, 2), (68, 1), (73, 1)]"
visita,"[(3, 2), (15, 1), (28, 1), (33, 1), (49, 1), (54, 1), (62, 1), (66, 1)]"
israel,"[(3, 1), (6, 1), (15, 3), (18, 5), (28, 1), (49, 1), (54, 3), (62, 7), (66, 2), (67, 1)]"
citou,"[(3, 1), (33, 1)]"
estados,"[(3, 1), (6, 1), (8, 1), (13, 1), (21, 3), (22, 1), (24, 2), (27, 1), (30, 1), (32, 1), (33, 5), (59, 2), (61, 2), (62, 1), (63, 1), (64, 1), (73, 1)]"
unidos,"[(3, 1), (6, 1), (8, 1), (13, 1), (21, 2), (22, 1), (24, 2), (27, 1), (30, 1), (33, 5), (59, 2), (61, 2), (62, 1), (63, 1), (64, 1)]"
donald,"[(3, 1), (21, 1), (24, 1), (25, 1), (30, 1), (62, 1), (66, 1)]"
trump,"[(3, 1), (21, 2), (24, 2), (25, 1), (30, 1), (62, 2), (66, 3)]"
tomar,"[(3, 1), (35, 1), (43, 1), (62, 1)]"
semelhante,"[(3, 1), (66, 1)]"
daquele,"[(3, 1), (56, 1), (59, 1)]"
ganhou,"[(3, 1), (33, 1)]"
grande,"[(3, 1), (5, 1), (6, 1), (7, 1), (15, 1), (33, 1), (34, 4), (35, 1), (73, 2)]"
impulso,"[(3, 1)]"
jornalistas,"[(3, 1), (34, 1), (60, 1), (74, 1)]"
acompanham,"[(3, 1)]"
oficial,"[(3, 1), (9, 1), (15, 1), (28, 1), (33, 1), (50, 1), (62, 1), (70, 2)]"
objetivos,"[(3, 1)]"
governo,"[(3, 2), (6, 2), (12, 1), (18, 1), (19, 1), (23, 3), (24, 1), (29, 1), (30, 1), (31, 1), (32, 2), (33, 2), (34, 1), (35, 1), (37, 1), (38, 2), (39, 1), (40, 1), (44, 1), (51, 4), (56, 2), (58, 1), (59, 6), (62, 4), (63, 1), (65, 1), (66, 5), (68, 3), (69, 2), (70, 1), (74, 2)]"
desburocratizar,"[(3, 1)]"
vida,"[(3, 1), (31, 2), (43, 1), (55, 1), (59, 2)]"
fazer,"[(3, 2), (15, 1), (22, 1), (23, 1), (33, 1), (35, 1), (37, 1), (43, 2), (59, 2), (67, 1), (73, 1)]"
suba,"[(3, 1)]"
ranking,"[(3, 1), (7, 2)]"
melhores,"[(3, 1), (29, 1)]"
